# chart,"Cumulative share of world GNI against cumulative share of world population, economies ranked by GNI per capita, 2026"
# source,"World Bank WDI, GNI per capita, Atlas method (NY.GNP.PCAP.CD) and population (SP.POP.TOTL); World Bank OGHIST (1 July 2026) for the operational thresholds; UN World Population Prospects 2024, medium variant; author's calculations and projections. Schellekens 2026, The Great Income Inversion, Moving Frontiers."
# note,"Economies are ranked from poorest to richest by GNI per capita. Each row adds that economy's population and its GNI to the running totals, so the two cumulative columns trace the curve."
# note,"World GNI per capita is $14801 in 2026. 63.9 percent of people live in an economy poorer than that, and those economies together hold 16.9 percent of world GNI."
# note,The poorest half of humanity holds 8.7 percent of world GNI; the richest tenth holds 49.5 percent.
# note,"Every person carries their own country's average, so these are measures of inequality between countries, not within them. A survey-based measure would be considerably wider."
# note,Values from 2026 reflect a nowcast based on a conservative constant-pace scenario that replicates country-level median per capita income growth over the last decade. See Schellekens 2026 for methodology.

rank_poorest_to_richest,iso3,economy,gni_per_capita_usd,ratio_to_world_average,population_millions,cumulative_population_share_percent,cumulative_gni_share_percent,at_or_below_world_average
109,BRA,Brazil,10849.6,0.733,213.563,61.2824,14.4566,yes
110,DOM,Dominican Republic,11176.7,0.7551,11.61,61.4251,14.5644,yes
111,DMA,Dominica,11252.2,0.7602,0.066,61.4259,14.565,yes
112,GRD,Grenada,12405.7,0.8382,0.117,61.4273,14.5662,yes
113,MYS,Malaysia,12673.6,0.8563,36.385,61.8745,14.9491,yes
114,VCT,St. Vincent and the Grenadines,12735.1,0.8604,0.099,61.8757,14.9501,yes
115,ALB,Albania,13154.0,0.8887,2.332,61.9043,14.9756,yes
116,MDV,Maldives,13857.2,0.9362,0.532,61.9109,14.9817,yes
117,LCA,St. Lucia,14226.1,0.9611,0.18,61.9131,14.9838,yes
118,MEX,Mexico,14386.3,0.972,132.998,63.5476,16.5725,yes
119,KAZ,Kazakhstan,14487.7,0.9788,21.084,63.8067,16.8261,yes
120,MUS,Mauritius,14583.3,0.9853,1.241,63.8219,16.8412,yes
121,SRB,Serbia,14702.8,0.9934,6.503,63.9018,16.9205,yes
122,CHN,China,14943.3,1.0096,1403.424,81.1493,34.3336,no
123,MNE,Montenegro,15433.6,1.0427,0.617,81.1569,34.3415,no
124,ARG,Argentina,15563.5,1.0515,46.004,81.7222,34.936,no
125,TUR,Türkiye,16659.1,1.1255,86.114,82.7805,36.1272,no
126,RUS,Russian Federation,17104.2,1.1556,142.912,84.5369,38.1568,no
127,CHL,Chile,17397.5,1.1754,19.946,84.782,38.4449,no
128,TTO,Trinidad and Tobago,18780.8,1.2689,1.37,84.7988,38.4663,no
129,CRI,Costa Rica,18852.9,1.2737,5.175,84.8624,38.5473,no
130,BGR,Bulgaria,19054.6,1.2874,6.388,84.9409,38.6483,no
131,PAN,Panama,20073.0,1.3562,4.626,84.9978,38.7254,no
132,OMN,Oman,20208.8,1.3654,5.671,85.0675,38.8206,no
133,SYC,Seychelles,20361.2,1.3756,0.125,85.069,38.8227,no
134,PLW,Palau,20588.6,1.391,0.018,85.0692,38.823,no
135,ROU,Romania,21637.4,1.4619,18.912,85.3016,39.1628,no
136,NRU,Nauru,22092.5,1.4926,0.012,85.3018,39.163,no
137,CUW,Curaçao,23300.5,1.5742,0.156,85.3037,39.166,no
138,PYF,French Polynesia,24399.8,1.6485,0.283,85.3072,39.1717,no
139,HUN,Hungary,25185.4,1.7016,9.468,85.4235,39.3697,no
140,URY,Uruguay,25192.1,1.702,3.383,85.4651,39.4405,no
141,ATG,Antigua and Barbuda,25351.6,1.7128,0.095,85.4663,39.4425,no
142,KNA,St. Kitts and Nevis,25654.3,1.7333,0.047,85.4669,39.4435,no
143,LVA,Latvia,26069.4,1.7613,1.83,85.4894,39.4831,no
144,GRC,Greece,26076.8,1.7618,10.37,85.6168,39.7076,no
145,HRV,Croatia,27178.0,1.8362,3.85,85.6641,39.7945,no
146,POL,Poland,27349.5,1.8478,36.151,86.1084,40.6155,no
147,SVK,Slovak Republic,27455.5,1.855,5.391,86.1746,40.7383,no
148,BRB,Barbados,27810.8,1.879,0.283,86.1781,40.7449,no
149,PRI,Puerto Rico (U.S.),28279.8,1.9106,3.172,86.2171,40.8194,no
150,BHR,Bahrain,29188.2,1.972,1.632,86.2372,40.8589,no
151,GUY,Guyana,30245.9,2.0435,0.841,86.2475,40.88,no
152,PRT,Portugal,31092.5,2.1007,10.788,86.3801,41.1585,no
153,LTU,Lithuania,32686.5,2.2084,2.855,86.4152,41.236,no
154,EST,Estonia,33693.4,2.2764,1.353,86.4318,41.2739,no
155,CZE,Czechia,34870.7,2.3559,10.803,86.5646,41.5867,no
156,BRN,Brunei Darussalam,35222.8,2.3797,0.47,86.5703,41.6004,no
157,SAU,Saudi Arabia,36736.8,2.482,37.615,87.0326,42.7478,no
158,ABW,Aruba,36985.7,2.4988,0.109,87.0339,42.7511,no
159,SVN,Slovenia,37174.7,2.5116,2.128,87.0601,42.8168,no
160,CYP,Cyprus,37222.1,2.5148,1.382,87.0771,42.8595,no
161,ESP,Spain,38088.1,2.5733,49.315,87.6831,44.4191,no
162,BHS,"Bahamas, The",38542.9,2.604,0.405,87.6881,44.4321,no
163,JPN,Japan,38816.9,2.6226,122.69,89.1959,48.3863,no
164,KOR,"Korea, Rep.",39038.9,2.6376,51.618,89.8303,50.0595,no
165,TCA,Turks and Caicos Islands,39311.6,2.656,0.047,89.8308,50.061,no
166,SXM,Sint Maarten (Dutch part),40320.0,2.7241,0.044,89.8314,50.0625,no
167,ITA,Italy,42603.5,2.8784,58.696,90.5527,52.1388,no
168,KWT,Kuwait,43376.8,2.9306,4.94,90.6135,52.3168,no
169,MLT,Malta,43543.9,2.9419,0.584,90.6206,52.3379,no
170,NZL,New Zealand,47210.1,3.1896,5.361,90.6865,52.548,no
171,FRA,France,49441.7,3.3404,68.819,91.5323,55.3731,no
172,ARE,United Arab Emirates,53945.9,3.6447,11.745,91.6766,55.8992,no
173,GBR,United Kingdom,55228.6,3.7314,69.867,92.5352,59.1031,no
174,FIN,Finland,55957.5,3.7806,5.645,92.6046,59.3654,no
175,CAN,Canada,58034.2,3.9209,42.006,93.1208,61.3894,no
176,ISR,Israel,58645.2,3.9622,10.262,93.2469,61.8891,no
177,DEU,Germany,61295.1,4.1412,83.063,94.2678,66.1165,no
178,AUT,Austria,61491.8,4.1545,9.202,94.3808,66.5864,no
179,BEL,Belgium,61503.9,4.1553,11.958,94.5278,67.197,no
180,SWE,Sweden,63793.8,4.3101,10.641,94.6586,67.7606,no
181,HKG,"Hong Kong SAR, China",65305.0,4.4121,7.481,94.7505,68.1663,no
182,AUS,Australia,65836.3,4.448,27.873,95.0931,69.69,no
183,NLD,Netherlands,69875.0,4.7209,18.188,95.3166,70.7452,no
184,MAC,"Macao SAR, China",73766.3,4.9838,0.687,95.325,70.7873,no
185,FRO,Faeroe Islands,74029.6,5.0016,0.055,95.3257,70.7907,no
186,QAT,Qatar,75254.7,5.0844,3.027,95.3629,70.9799,no
187,DNK,Denmark,78655.6,5.3141,6.03,95.437,71.3737,no
188,SGP,Singapore,84601.6,5.7159,6.148,95.5126,71.8055,no
189,CYM,Cayman Islands,87792.8,5.9315,0.077,95.5135,71.8112,no
190,IMN,Isle of Man,88112.7,5.9531,0.084,95.5146,71.8173,no
191,IRL,Ireland,90633.8,6.1234,5.535,95.5826,72.2338,no
192,USA,United States,92426.3,6.2445,343.517,99.8042,98.5961,no
193,ISL,Iceland,95616.1,6.46,0.396,99.8091,98.6276,no
194,LUX,Luxembourg,97552.7,6.5909,0.694,99.8176,98.6838,no
195,NOR,Norway,98520.5,6.6563,5.641,99.887,99.1452,no
196,CHE,Switzerland,111702.5,7.5469,9.133,99.9992,99.9923,no
197,BMU,Bermuda,143914.9,9.7232,0.064,100.0,100.0,no
