record_type,series,decade,first_rate_year,last_rate_year,economy,code,class_2025,class_at_decade_start,middle_income_at_decade_start,annual_rates_used,decade_median_growth_pct,population_mn,population_year,in_balanced_sample,n_economies,weighted_median_economy,plotted
economy,,1996-2005,1996,2005,Comoros,COM,LM,L,False,10,1.3956,0.593,2005,True,,,True
economy,,2006-15,2006,2015,Comoros,COM,LM,L,False,10,2.0505,0.727,2015,True,,,True
economy,,2016-25,2016,2025,Comoros,COM,LM,L,False,10,2.6001,0.883,2025,True,,,True
economy,,1988-95,1988,1995,"Congo, Rep.",COG,LM,LM,True,8,-7.2543,2.381,1990,True,,,True
economy,,1996-2005,1996,2005,"Congo, Rep.",COG,LM,L,False,10,9.1047,3.696,2005,True,,,True
economy,,2006-15,2006,2015,"Congo, Rep.",COG,LM,LM,True,10,8.2252,5.098,2015,True,,,True
economy,,2016-25,2016,2025,"Congo, Rep.",COG,LM,LM,True,10,1.3671,6.484,2025,True,,,True
economy,,1988-95,1988,1995,Cuba,CUB,UM,,False,8,-2.3663,10.632,1990,False,,,False
economy,,1996-2005,1996,2005,Cuba,CUB,UM,LM,True,10,6.721,11.263,2005,False,,,False
economy,,2006-15,2006,2015,Cuba,CUB,UM,LM,True,10,6.8072,11.275,2015,False,,,False
economy,,2016-25,2016,2025,Cuba,CUB,UM,UM,True,4,,10.937,2025,False,,,False
economy,,1988-95,1988,1995,Côte d'Ivoire,CIV,LM,LM,True,8,-3.9474,12.19,1990,True,,,True
economy,,1996-2005,1996,2005,Côte d'Ivoire,CIV,LM,L,False,10,2.8988,20.068,2005,True,,,True
economy,,2006-15,2006,2015,Côte d'Ivoire,CIV,LM,L,False,10,5.8519,25.246,2015,True,,,True
economy,,2016-25,2016,2025,Côte d'Ivoire,CIV,LM,LM,True,10,4.1707,32.712,2025,True,,,True
economy,,1988-95,1988,1995,Djibouti,DJI,LM,,False,0,,0.58,1990,False,,,False
economy,,1996-2005,1996,2005,Djibouti,DJI,LM,LM,True,0,,0.839,2005,False,,,False
economy,,2006-15,2006,2015,Djibouti,DJI,LM,LM,True,0,,1.02,2015,False,,,False
economy,,2016-25,2016,2025,Djibouti,DJI,LM,LM,True,10,5.9313,1.184,2025,False,,,False
economy,,1988-95,1988,1995,Dominica,DMA,UM,LM,True,8,6.5955,0.07,1990,True,,,True
economy,,1996-2005,1996,2005,Dominica,DMA,UM,LM,True,10,3.5896,0.069,2005,True,,,True
economy,,2006-15,2006,2015,Dominica,DMA,UM,UM,True,10,2.9992,0.07,2015,True,,,True
economy,,2016-25,2016,2025,Dominica,DMA,UM,UM,True,10,5.2588,0.066,2025,True,,,True
economy,,1988-95,1988,1995,Dominican Republic,DOM,UM,LM,True,8,9.7844,7.151,1990,True,,,True
economy,,1996-2005,1996,2005,Dominican Republic,DOM,UM,LM,True,10,4.6373,9.225,2005,True,,,True
economy,,2006-15,2006,2015,Dominican Republic,DOM,UM,LM,True,10,4.6389,10.435,2015,True,,,True
economy,,2016-25,2016,2025,Dominican Republic,DOM,UM,UM,True,10,5.2423,11.52,2025,True,,,True
economy,,1988-95,1988,1995,Ecuador,ECU,UM,LM,True,8,6.3338,10.474,1990,True,,,True
economy,,1996-2005,1996,2005,Ecuador,ECU,UM,LM,True,10,5.4904,13.846,2005,True,,,True
