# chart,"Every economy as a multiple of world GNI per capita, 2026"
# source,"World Bank WDI, GNI per capita, Atlas method (NY.GNP.PCAP.CD) and population (SP.POP.TOTL); World Bank OGHIST (1 July 2026) for the operational thresholds; UN World Population Prospects 2024, medium variant; author's calculations and projections. Schellekens 2026, The Great Income Inversion, Moving Frontiers."
# note,World GNI per capita is $14801 in 2026. The ratio column is each economy's GNI per capita divided by that.
# note,Burundi at 0.016 times and Bermuda at 9.72 times span a 592-fold range.
# note,Bubble area on the chart follows a logarithmic population scale; economies under ten million people are drawn at a fixed minimum size. The bubble_area column reproduces it.
# note,"Every person carries their own country's average, so these are measures of inequality between countries, not within them. A survey-based measure would be considerably wider."
# note,Values from 2026 reflect a nowcast based on a conservative constant-pace scenario that replicates country-level median per capita income growth over the last decade. See Schellekens 2026 for methodology.

rank_poorest_to_richest,iso3,economy,gni_per_capita_usd,ratio_to_world_average,population_millions,bubble_area,side_of_world_average
111,DMA,Dominica,11252.2,0.7602,0.066,10.0,below
112,GRD,Grenada,12405.7,0.8382,0.117,10.0,below
113,MYS,Malaysia,12673.6,0.8563,36.385,32.4,below
114,VCT,St. Vincent and the Grenadines,12735.1,0.8604,0.099,10.0,below
115,ALB,Albania,13154.0,0.8887,2.332,10.0,below
116,MDV,Maldives,13857.2,0.9362,0.532,10.0,below
117,LCA,St. Lucia,14226.1,0.9611,0.18,10.0,below
118,MEX,Mexico,14386.3,0.972,132.998,248.1,below
119,KAZ,Kazakhstan,14487.7,0.9788,21.084,13.5,below
120,MUS,Mauritius,14583.3,0.9853,1.241,10.0,below
121,SRB,Serbia,14702.8,0.9934,6.503,10.0,below
122,CHN,China,14943.3,1.0096,1403.424,2161.3,above
123,MNE,Montenegro,15433.6,1.0427,0.617,10.0,above
124,ARG,Argentina,15563.5,1.0515,46.004,49.5,above
125,TUR,Türkiye,16659.1,1.1255,86.114,137.4,above
126,RUS,Russian Federation,17104.2,1.1556,142.912,271.3,above
127,CHL,Chile,17397.5,1.1754,19.946,12.7,above
128,TTO,Trinidad and Tobago,18780.8,1.2689,1.37,10.0,above
129,CRI,Costa Rica,18852.9,1.2737,5.175,10.0,above
130,BGR,Bulgaria,19054.6,1.2874,6.388,10.0,above
131,PAN,Panama,20073.0,1.3562,4.626,10.0,above
132,OMN,Oman,20208.8,1.3654,5.671,10.0,above
133,SYC,Seychelles,20361.2,1.3756,0.125,10.0,above
134,PLW,Palau,20588.6,1.391,0.018,10.0,above
135,ROU,Romania,21637.4,1.4619,18.912,12.0,above
136,NRU,Nauru,22092.5,1.4926,0.012,10.0,above
137,CUW,Curaçao,23300.5,1.5742,0.156,10.0,above
138,PYF,French Polynesia,24399.8,1.6485,0.283,10.0,above
139,HUN,Hungary,25185.4,1.7016,9.468,10.0,above
140,URY,Uruguay,25192.1,1.702,3.383,10.0,above
141,ATG,Antigua and Barbuda,25351.6,1.7128,0.095,10.0,above
142,KNA,St. Kitts and Nevis,25654.3,1.7333,0.047,10.0,above
143,LVA,Latvia,26069.4,1.7613,1.83,10.0,above
144,GRC,Greece,26076.8,1.7618,10.37,10.0,above
145,HRV,Croatia,27178.0,1.8362,3.85,10.0,above
146,POL,Poland,27349.5,1.8478,36.151,32.0,above
147,SVK,Slovak Republic,27455.5,1.855,5.391,10.0,above
148,BRB,Barbados,27810.8,1.879,0.283,10.0,above
149,PRI,Puerto Rico (U.S.),28279.8,1.9106,3.172,10.0,above
150,BHR,Bahrain,29188.2,1.972,1.632,10.0,above
151,GUY,Guyana,30245.9,2.0435,0.841,10.0,above
152,PRT,Portugal,31092.5,2.1007,10.788,10.0,above
153,LTU,Lithuania,32686.5,2.2084,2.855,10.0,above
154,EST,Estonia,33693.4,2.2764,1.353,10.0,above
155,CZE,Czechia,34870.7,2.3559,10.803,10.0,above
156,BRN,Brunei Darussalam,35222.8,2.3797,0.47,10.0,above
157,SAU,Saudi Arabia,36736.8,2.482,37.615,34.4,above
158,ABW,Aruba,36985.7,2.4988,0.109,10.0,above
159,SVN,Slovenia,37174.7,2.5116,2.128,10.0,above
160,CYP,Cyprus,37222.1,2.5148,1.382,10.0,above
161,ESP,Spain,38088.1,2.5733,49.315,56.0,above
162,BHS,"Bahamas, The",38542.9,2.604,0.405,10.0,above
163,JPN,Japan,38816.9,2.6226,122.69,223.8,above
164,KOR,"Korea, Rep.",39038.9,2.6376,51.618,60.6,above
165,TCA,Turks and Caicos Islands,39311.6,2.656,0.047,10.0,above
166,SXM,Sint Maarten (Dutch part),40320.0,2.7241,0.044,10.0,above
167,ITA,Italy,42603.5,2.8784,58.696,75.4,above
168,KWT,Kuwait,43376.8,2.9306,4.94,10.0,above
169,MLT,Malta,43543.9,2.9419,0.584,10.0,above
170,NZL,New Zealand,47210.1,3.1896,5.361,10.0,above
171,FRA,France,49441.7,3.3404,68.819,97.7,above
172,ARE,United Arab Emirates,53945.9,3.6447,11.745,10.0,above
