Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
Brazil,BRA,UM,0.028402,0.01244,0.090712,0.028402,unadjusted,0,10,-0.123911,-0.024309,0.055493,0.009657,-0.141339,-0.002475,0.047146,0.103081,0.066595,0.062437,projected
British Virgin Islands,VGB,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Brunei Darussalam,BRN,H,-0.019254,0.01244,0.071689,0.01244,raised by floor,0.031694,10,-0.146936,-0.102548,-0.015053,0.095867,-0.023455,-0.02986,0.036132,0.110429,0.047397,-0.034148,projected - raised from -1.9% to the 1.244% floor
Bulgaria,BGR,H,0.102385,0.01244,0.071689,0.071689,cut by cap,-0.030696,10,-0.005312,0.032043,0.146184,0.119639,0.017137,0.161546,0.117747,0.087023,0.079354,0.156799,projected - cut from 10.2% to the H p90 cap of 7.17%
Burkina Faso,BFA,L,0.025894,0.01244,0.055948,0.025894,unadjusted,0,10,-0.044118,0,0.123077,0.027397,0.04,0.051282,0.02439,0,0.011905,0.152941,projected
Burundi,BDI,L,0,0.01244,0.055948,0.01244,raised by floor,0.01244,10,0,0,0.041667,0,-0.04,0.041667,0.12,0,-0.107143,-0.04,projected - raised from 0.0% to the 1.244% floor
Cabo Verde,CPV,UM,0.068127,0.01244,0.090712,0.068127,unadjusted,0,10,-0.01105,0.011173,0.116022,0.094059,-0.205882,0.102564,0.175711,0.041758,0.042194,0.131579,projected
Cambodia,KHM,LM,0.074593,0.01244,0.074681,0.074593,unadjusted,0,10,0.083916,0.090323,0.136095,0.09375,-0.02381,0.034146,0.070755,0.052863,0.066946,0.078431,projected
Cameroon,CMR,LM,0.019182,0.01244,0.074681,0.019182,unadjusted,0,10,-0.039216,-0.040816,0.078014,0.026316,-0.012821,0.045455,0.031056,0.012048,0.005952,0.100592,projected
Canada,CAN,H,0.02861,0.01244,0.071689,0.02861,unadjusted,0,10,-0.077343,-0.022779,0.05035,0.033733,-0.057535,0.117995,0.101671,0.023488,-0.022226,0.042691,projected
Cayman Islands,CYM,H,0.084884,0.01244,0.071689,0.071689,cut by cap,-0.013195,9,0.076525,0.084884,0.115437,0.11472,-0.032548,0.221724,-0.03016,0.000135,0.107476,,projected - cut from 8.5% to the H p90 cap of 7.17%
Central African Republic,CAF,L,0.033229,0.01244,0.055948,0.033229,unadjusted,0,10,0.025641,0.05,0.119048,0.06383,-0.02,0.040816,0.019608,0.019231,-0.037736,0.098039,projected
Chad,TCD,L,0.010989,0.01244,0.055948,0.01244,raised by floor,0.001451,10,-0.168142,-0.117021,0.072289,0.044944,-0.043011,0,0.033708,-0.01087,0.021978,0.043011,projected - raised from 1.1% to the 1.244% floor
Channel Islands,CHI,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Chile,CHL,H,0.025797,0.01244,0.071689,0.025797,unadjusted,0,10,-0.054688,-0.008264,0.095455,0.016598,-0.118367,0.141204,0.043272,0.034997,-0.00814,0.070707,projected
China,CHN,UM,0.05013,0.01244,0.090712,0.05013,unadjusted,0,10,0.039801,0.05622,0.100793,0.081276,0.021884,0.137803,0.077741,0.044039,-0.006545,0.041728,projected
Colombia,COL,UM,0.041857,0.01244,0.090712,0.041857,unadjusted,0,10,-0.115903,-0.080793,0.053068,0.044094,-0.117647,0.078632,0.03962,0.030488,0.048817,0.114245,projected
Comoros,COM,LM,0.026001,0.01244,0.074681,0.026001,unadjusted,0,10,-0.047297,-0.021277,0.07971,0.026846,0,0.039216,0.025157,0.02454,0.035928,0.127168,projected
"Congo, Dem. Rep.",COD,L,0.044466,0.01244,0.055948,0.044466,unadjusted,0,10,0,-0.043478,0.045455,0,0.043478,0.104167,0.150943,0.114754,0,0.058824,projected
"Congo, Rep.",COG,LM,0.013671,0.01244,0.074681,0.013671,unadjusted,0,10,-0.266234,-0.230088,0.189655,0.05314,0.022936,-0.085202,0.063725,0.064516,-0.017316,0.004405,projected
Costa Rica,CRI,H,0.051472,0.01244,0.071689,0.051472,unadjusted,0,10,0.03714,0.036705,0.044905,0.017355,-0.043054,0.082343,0.058039,0.062268,0.096301,0.141311,projected
Croatia,HRV,H,0.074404,0.01244,0.071689,0.071689,cut by cap,-0.002715,10,-0.035372,0.019862,0.098876,0.074983,-0.045022,0.154714,0.113859,0.073826,0.06875,0.140801,projected - cut from 7.4% to the H p90 cap of 7.17%
Cuba,CUB,UM,0.049754,0.01244,0.090712,,frozen,,4,0.035763,0.063745,0.087391,0.034443,,,,,,,frozen - only 4 of 10 annual rates
