Economy,Code,2025 class,Growth rate,Starting level,Level year,Status,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Hungary,HUN,H,0.05598979638,23850,2025,projected,2520,2840,2910,3020,2910,3320,3670,4040,4260,4380,4410,4420,4500,4630,4790,5300,6630,8650,10380,11230,11770,13250,13400,13250,13260,13080,13560,13630,13310,13230,13310,15180,16840,16330,18070,19200,19820,20800,23850,25185.356643661242,26595.47963389566,28084.555123223952,29657.00364599408,31317.49324137202,33070.95331108616,34922.589253063925,36877.897914402776,38942.683909549894,41123.076852133425,43425.54955160044,45856.937228680945,48424.45780672185,51135.73333912854,53998.812636524555,57022.195160801355,60214.85625699104,63586.2737978665,67146.45632036729,70905.97273737827,74875.98371306468,79068.27479490584,83495.29140078467,88170.17576499721,93106.80595286172
Iceland,ISL,H,0.071689,89220,2025,projected - cut from 7.2% to the H p90 cap of 7.17%,19480,23940,24680,25300,25760,27030,26610,26170,25990,27750,28690,29550,30720,32170,31120,31080,33810,42100,51760,55160,63250,52520,43740,38480,39690,43190,49540,50800,53170,59210,62770,72840,75560,66730,68000,74620,80870,80910,89220,95616.09258000001,102470.71464096765,109816.73770286399,117689.38981204462,126126.4244782803,135168.30172270376,144858.3821049027,155243.13465962108,166372.35974023468,178299.4278376524,191081.53551990588,204779.97971979243,219460.45168592467,235193.35200683694,252054.1282188551,270123.63661673665,289488.5300021539,310241.67322947836,332482.58854162646,356317.93283158715,381862.00911835086,409237.31469003635,438575.12854285043,470016.14093295886,503711.1280603018
India,IND,LM,0.064409156371,2760,2025,projected,360,400,390,390,350,350,330,340,370,400,410,410,440,440,450,460,510,610,700,780,910,990,1110,1210,1350,1460,1500,1540,1580,1670,1790,1970,2070,1900,2170,2360,2490,2550,2760,2937.769271583416,3126.988511978171,3328.395204015876,3542.774331175164,3770.961437058291,4013.845881926045,4272.374308983322,4547.554333925229,4840.458472123741,5152.228318761136,5484.0789982023,5837.303899947347,6213.279719622951,6613.471824659683,7039.439965568086,7492.844355073239,7975.452138801237,8489.14428273714,9035.92290429826,9617.919075595724,10237.401129297496,10896.78349946505,11598.636131820876,12345.694500123369,13140.870267687973
Indonesia,IDN,UM,0.04788425837,5120,2025,projected,500,510,520,560,600,650,730,840,970,1070,1080,640,560,570,700,780,880,1060,1200,1350,1570,1900,2110,2490,2960,3520,3670,3570,3390,3370,3490,3810,4020,3850,4130,4520,4810,4920,5120,5365.167402855132,5622.074464972515,5891.283331229442,6173.383064393748,6468.990934067043,6778.753767348021,7103.349364171293,7443.487980418661,7799.913882048081,8173.406973640936,8564.784504931085,8974.902859049802,9404.659426399476,9854.994568256388,10326.893674399133,10821.389319265054,11339.563521352646,11882.550110813743,12451.537210416118,13047.769835305131,13672.552617253039,14327.252659356956,15013.30252743192,15732.20338464459,16485.528276246547
"Iran, Islamic Rep.",IRN,UM,0.01244,4650,2025,projected - raised from 1.2% to the 1.244% floor,3320,2850,2440,2450,2460,2270,1590,1300,1270,1600,1790,1770,1730,1750,1780,1880,2180,2450,2850,3330,4070,4720,5260,5910,6680,7310,7220,6660,5460,5530,5640,5390,4710,3980,4110,4390,5070,5130,4650,4707.846,4766.41160424,4825.705764596746,4885.737544308329,4946.516119359525,5008.050779884357,5070.350931586118,5133.42609717505,5197.285917823908,5261.940154641637,5327.39869016538,5393.671529871037,5460.768803702633,5528.700767620694,5597.477805169896,5667.11042906621,5737.609282803794,5808.985142281873,5881.24891745186,5954.411653984961,6028.484534960534,6103.478882575443,6179.406159874682,6256.277972503523,6334.106070481467
Iraq,IRQ,UM,0.01244,5690,2025,projected - raised from 1.1% to the 1.244% floor,3480,3660,3650,7000,70,50,40,60,120,380,730,890,1240,1530,1660,1330,790,1310,1510,1880,2480,3470,4010,4390,4740,5980,6620,6440,5460,5060,4430,4820,5520,4720,4740,5510,5920,6030,5690,5760.7836,5832.447747984,5905.003397968921,5978.461640239654,6052.833703044235,6128.130954310106,6204.364903381724,6281.547202779792,6359.689649982373,6438.804189228154,6518.902913342153,6599.998065584129,6682.102041519996,6765.227390916504,6849.386819659506,6934.59319169607,7020.859531000769,7108.199023566418,7196.625019419585,7286.151034661164,7376.790753532349,7468.558030506292,7561.466892405791,7655.531540547318,7750.766352911727
Ireland,IRL,H,0.037474956725,87360,2025,projected,8220,10420,11100,12560,13130,14440,14600,15480,16920,18880,20650,21430,22690,24130,24080,24920,29980,37840,44640,47950,50540,50940,46810,44970,42670,41070,44170,47580,52340,52880,54410,59110,62460,64420,74070,75970,79280,80650,87360,90633.81221947033,94030.31041019013,97554.09222362269,101209.92760802094,105002.76526524217,108937.73934953159,113020.1764173426,117255.60263760117,121649.75127217462,126208.57043667062,130938.23115207188,135845.13569810535,140935.92627965368,146217.49401794007,151696.98827865734,157381.8263496683,163279.70348137734,169398.6033033648,175746.80863138405,182332.91267935038,189165.83069149865,196254.81201045564,203609.4525975628,211239.70802239756,219155.90693907646
Isle of Man,IMN,H,0.01244,87030,2023,projected - raised from 0.1% to the 1.244% floor,7930,10360,11430,12410,13120,14420,13920,13740,14170,15490,17210,18970,21680,22470,23100,24130,27590,33670,39430,44860,47950,43640,46790,72410,74840,82400,87680,88570,83630,78690,77890,83430,84470,79280,76440,78440,87030,,,88112.6532,89208.77460580801,90318.53176190426,91442.09429702236,92579.63395007732,93731.32459641628,94897.34227439569,96077.86521228918,97273.07385553006,98483.15089429286,99708.28129141786,100948.6523106831,102204.453545428,103475.87694753312,104763.11685676043,106066.37003045854,107385.83567363744,108721.7154694175,110074.21360985705,111443.53682716367,112829.89442529359,114233.49831194425,115654.56303094483,117093.30579504979,118549.94651914021
Israel,ISR,H,0.043879573303,56180,2025,projected,9000,11050,11590,12860,13660,15270,15670,16620,18050,19560,20070,19830,19500,20360,20360,19550,19650,20960,22490,23340,25080,27300,28440,30770,32820,33500,35470,37000,36900,37240,38600,41960,44110,43330,49640,55460,54480,53090,56180,58645.1544281854,61218.47878080658,63904.71950799205,66708.83133207665,69635.98638649711,72691.58375569846,75881.25943364738,79210.89671932095,82686.637068345,86314.89142079765,90102.35202607216,94056.00478660957,98183.1421432692,102491.3765261036,106988.65439534785,111683.2708985214,116583.88517067733,121699.53630602005,127039.66003035069,132614.10610509236,138433.15649499654,144507.54433304074,150848.47371749775,157467.64037769174,164377.2532465592
Italy,ITA,H,0.01244,42080,2025,projected - raised from 1.0% to the 1.244% floor,12190,15990,17340,18710,20410,23010,21640,20910,20720,21880,22370,22270,22050,21980,21260,20830,23440,28390,32480,34260,35880,37870,37830,37720,37710,35970,35700,35370,33460,32400,31790,34270,35030,32600,36760,39060,38750,38640,42080,42603.4752,43133.462431488,43670.04270413571,44213.29803537516,44763.31146293523,45320.16705753414,45883.94993572986,46454.746272930344,47032.6433165656,47617.729399423675,48210.09395315251,48809.82752192973,49417.021776302536,50031.769527199736,50654.1647401181,51284.302549485175,51922.27927320077,52568.19242735939,53222.140741155745,53884.22417197572,54554.5439206751,55233.2024470483,55920.30348548958,56615.95206084907,57320.25450448603
Jamaica,JAM,UM,0.060028865108,7790,2025,projected,1190,1510,1720,1800,1760,1630,1860,1900,2330,2560,2800,2940,3170,3300,3300,3320,3500,3730,3870,4170,4400,4660,4420,4490,4700,5100,5150,5060,4940,4990,5300,5610,5930,5360,5690,6340,6860,7190,7790,8257.624859194593,8753.320707983123,9278.772616013383,9835.766805751753,10426.196724572103,11052.069481345294,11715.512669409858,12418.78159911785,13164.266964542227,13954.502970407964,14792.175946873633,15680.133481448527,16621.394099088426,17619.157523376496,18676.81555367127,19797.963595197445,20986.412881274966,22246.203429234632,23581.617774062634,24997.195526460164,26497.748804806844,28088.378593487396,29774.49208319009,31561.821052123632,33456.44135063766
Japan,JPN,H,0.01244,38340,2025,projected - raised from -0.7% to the 1.244% floor,18770,25750,28050,28990,29660,31650,34780,38380,43580,44730,41610,35530,34750,37330,37890,35880,36120,39430,41690,41030,39770,39820,39540,44290,47800,50540,49350,45180,40140,39220,39700,42720,42960,41880,45160,44300,40740,37170,38340,38816.9496,39299.832453024,39788.72236873962,40283.69407500674,40784.82322929982,41292.18643027231,41805.8612294649,42325.92614315944,42852.46066438035,43385.54527504524,43925.2614582668,44471.691710807645,45024.919555690096,45585.02955496288,46152.107322626616,46726.23953772009,47307.513957569325,47896.01943120149,48491.84591292563,49095.084476082426,49705.82732696489,50324.167818912334,50950.200466579605,51584.02096038385,52225.72618113103
Jordan,JOR,UM,0.02306547619,5260,2025,projected,2160,2200,1580,1260,1040,1200,1230,1290,1370,1380,1390,1410,1460,1590,1650,1680,1800,2050,2240,2340,2500,3010,3510,3950,4140,4400,4510,4380,4220,4200,4300,4480,4580,4460,4650,4810,4890,4880,5260,5381.324404761905,5505.44721469317,5632.4329763416,5762.347725051861,5895.259019305289,6031.235975851766,6170.349305651919,6312.671350648356,6458.276121385037,6607.239335494365,6759.638457071988,6915.55273695981,7075.06325395814,7238.252956988425,7405.206708228487,7576.011327242686,7750.755636129981,7929.530505713337,8112.428902794523,8299.545938498863,8490.978917735072,8686.827389795926,8887.193200126041,9092.180543283712,9301.896017124334
Kazakhstan,KAZ,UM,0.054418334251,13740,2025,projected,,,,,,,1350,1240,1210,1270,1330,1340,1250,1220,1290,1450,1720,2180,2780,3670,4740,5870,6580,7210,8030,9640,11490,11720,11040,8500,7780,7800,8500,8380,8540,9400,10710,12100,13740,14487.707912612448,15276.10484433576,16107.405023812265,16983.943174318665,17908.18107088331,18882.714454230903,19910.280320972524,20993.76461051569,22136.21031028321,23340.82600200461,24610.99487308243,25950.284218342116,27362.45545885131,28851.474705946563,30421.52390013682,32077.01255616746,33822.59014723116,35663.159163106895,37603.88887890108,39650.22987306073,41807.92933543263,44083.04720836167,46481.9732061608,49011.44476075223,51678.565943880494
Kenya,KEN,LM,0.055555555556,2200,2025,projected,390,420,410,390,360,340,280,270,280,350,400,450,450,430,410,390,420,460,520,590,710,830,830,930,1010,1060,1130,1250,1320,1490,1540,1720,1880,1910,2070,2170,2110,2070,2200,2322.222222222222,2451.234567901235,2587.41426611797,2731.159503124524,2882.890586631442,3043.051174777633,3212.10957337639,3390.560105230635,3578.924555521226,3777.753697494627,3987.628902910995,4209.163841961607,4443.00627762614,4689.839959716482,4950.386624145175,5225.408103264352,5515.708553445705,5822.136806414911,6145.58885121574,6487.010454061059,6847.399923731118,7227.811030605069,7629.356087860907,8053.20920385318,8500.609715178356
Kiribati,KIR,LM,0.044046291872,3930,2025,projected,480,600,590,610,830,1020,1080,1180,1290,1200,1440,1540,1340,1370,1340,1220,1200,1430,1620,1670,1790,1860,1850,2030,2110,2630,3040,3260,3490,2990,3130,3280,3610,3070,3150,3280,3710,3580,3930,4103.101927058449,4283.828352119786,4472.515106048427,4669.51281181306,4875.187536023991,5089.921469168287,5314.113635806762,5548.180636052495,5792.557419708744,6047.69809450475,6314.076769931336,6592.18843824434,6882.549894272972,7185.70069574233,7502.204165894554,7832.648440271722,8177.647559605664,8537.842610845502,8913.902918443237,9306.527288111038,9716.445305361436,10144.418691243392,10591.242717793515,11057.747685832657,11544.800467853966
"Korea, Dem. Rep.",PRK,L,,,,frozen - only 0 of 10 annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,H,0.030594443385,37880,2025,projected,3630,4660,5550,6660,7810,8580,9310,10440,12230,13790,14030,10720,10820,11460,12390,13320,14290,16790,19230,21610,24390,24840,22960,23250,24590,26780,28210,29480,30130,30850,31940,34610,35790,35000,37450,38590,38020,36750,37880,39038.91751541738,40233.29146714788,41464.20662512491,42732.7809472142,44040.16659458011,45387.55097811649,46776.15783689258,48207.248349593276,49682.12227996337,51202.11915729593,52768.61949303716,54383.04603461254,56046.86505761312,57761.58769751549,59528.77132214505,61350.02094612893,63226.99068862343,65161.38527563972,67154.9615883324,69209.53025865709,71326.95731384629,73509.16587119698,75758.13788470942,78075.91594516333,80464.6051352664
Kosovo,XKX,UM,0.090023641826,7760,2025,projected,,,,,,,,,,,,,,,,,,,,,,,,3130,3400,3540,3800,3900,3930,3930,3950,4300,4640,4450,5140,5610,6290,6920,7760,8458.58346057233,9220.055948385023,10050.07896270117,10954.823671565728,11941.016794045374,13015.99061295472,14187.737489910243,15464.969288027934,16857.182144068574,18374.727071607427,20028.886920158406,21831.960262438835,23797.352833471323,25939.677201366572,28274.861410833044,30820.26740717103,33594.820121225945,36619.14817503921,39915.73725433429,43509.09728815243,47425.94467860806,51695.40093563047,56349.20919352825,61421.97021916344,66951.399666441
Kuwait,KWT,H,0.055138662316,41110,2024,projected,14700,13830,16600,16460,12450,16200,18590,18550,19590,19620,20550,19540,17330,18810,19550,19640,23150,29080,35740,42460,47510,51800,45410,42850,44350,50830,53530,51350,41830,34920,30650,32340,35680,33150,35990,39120,42040,41110,,43376.75040783034,45768.48640095377,48292.099517352195,50954.86128519314,53764.44417498029,56728.94370697757,59856.901777606996,63157.331272032956,66639.7420338514,70314.16826671302,74191.1974468352,78282.00082971127,82598.36563891883,87152.729029776,91958.21392570817,97028.66683058407,102378.69772597353,108023.72216828658,113980.00570709258,120264.710752606,126895.94602738263,133892.81874471626,141275.48966408233,149065.23118226498,157284.48862755136
Kyrgyz Republic,KGZ,LM,0.074681,2800,2025,projected - cut from 7.5% to the LM p90 cap of 7.47%,,,,,,510,450,370,360,390,390,360,300,280,280,290,340,400,450,500,610,760,860,850,870,1030,1180,1230,1160,1090,1090,1200,1240,1210,1270,1540,1840,2260,2800,3009.1068,3233.8299049308,3475.335556060938,3734.877090723124,4013.801446735418,4313.556152579065,4635.696839609823,4981.895315288724,5353.948239329801,5753.78644779119,6183.484973498684,6645.273814804539,7141.549508567957,7674.88756741732,8248.055845839614,8864.028904462763,9526.003447076946,10237.4149105081,11001.955293439754,11823.592316709128,12706.590014513282,13655.530863387148,14675.339563795764,15771.308597759595,16949.12569514888
Lao PDR,LAO,LM,0.018267996445,2150,2025,projected,430,250,210,190,210,240,270,310,350,380,370,300,280,280,300,310,330,380,450,500,600,740,880,990,1130,1350,1590,1810,1960,2110,2240,2460,2520,2470,2500,2300,2110,2000,2150,2189.276192357065,2229.269882056488,2269.994176337169,2311.462421881,2353.688209187012,2396.685377025424,2440.468016973059,2485.050478031617,2530.447371330308,2576.673574914401,2623.744238621241,2671.674789045348,2720.480934594216,2770.178670636472,2820.784284744081,2872.314362030311,2924.785790585225,2978.215767010451,3032.621802055078,3088.021726354494,3144.433696274074,3201.876199859608,3260.368062896443,3319.928455079305,3380.576896294835
Latvia,LVA,H,0.04361143333,24980,2025,projected,,,,,,,,,,,2640,2790,2910,3240,3520,3850,4530,5610,7120,8590,10730,12830,13360,12250,12470,13430,14340,14810,14580,14300,14360,16010,17010,17350,19310,20630,21000,21520,24980,26069.413604592366,27206.338097970598,28392.845498093448,29631.098186592735,30923.352849662646,32271.964590816875,33679.39122300899,35148.19774793833,36681.06103070481,38280.77467833222,39950.2541310508,41692.54197561802,43510.81349036088,45408.38243204544,47388.70707512003,49455.396514338536,51612.21724225008,53863.10001354248,56212.14700874954,58663.63931037796,61222.04470507874,63892.02582608254,66678.44865073831,69586.39136864175,72621.15363651553
Lebanon,LBN,LM,0.01244,3560,2024,projected - raised from -4.0% to the 1.244% floor,,,,1020,1350,1580,1880,2280,2820,3330,3560,3750,3950,4090,4040,3940,3670,4700,4910,4870,5320,5860,6620,7340,7720,8000,7880,7440,7360,7670,8260,8700,8630,6350,4770,4130,3710,3560,,3604.2864,3649.123722816,3694.518821927831,3740.478636072613,3787.010190305356,3834.120597072755,3881.81705730034,3930.106861493156,3978.997390850132,4028.496118392307,4078.610610105108,4129.348526094815,4180.717621759435,4232.725748974122,4285.38085729136,4338.690995156065,4392.664311135806,4447.309055166335,4502.633579812605,4558.646341545474,4615.355902034299,4672.770929455606,4730.900199818034,4789.75259830377,4849.337120626669
Lesotho,LSO,LM,0.01244,1280,2025,projected - raised from 0.5% to the 1.244% floor,390,460,490,510,550,620,630,660,670,690,690,620,610,590,650,600,680,820,1040,1160,1320,1310,1190,1270,1350,1490,1440,1330,1280,1240,1160,1250,1290,1170,1190,1270,1260,1240,1280,1295.9232,1312.044484608,1328.366317996524,1344.8911949924,1361.621641458106,1378.560214677845,1395.709503748437,1413.072129975068,1430.650747271957,1448.448042568021,1466.466736217567,1484.709582416113,1503.179369621369,1521.878920979459,1540.811094756444,1559.978784775214,1579.384920857818,1599.032469273289,1618.924433191049,1639.063853139945,1659.453807473006,1680.097412837971,1700.997824653675,1722.158237592367,1743.581886068016
Liberia,LBR,L,0.032006245121,830,2025,projected,380,410,430,250,250,150,100,80,80,100,160,180,170,190,210,250,180,210,240,270,310,370,410,440,500,540,610,620,620,610,620,620,600,570,630,660,710,750,830,856.565183450429,883.980618674057,912.273519037552,941.471968905264,971.604951516596,1002.702377755613,1034.795115841468,1067.915021969103,1102.094971930643,1137.368893748876,1173.771801355202,1211.339829345494,1250.110268848355,1290.121604541394,1331.413552852243,1374.027101382252,1418.004549591989,1463.389550788922,1510.227155458981,1558.56385598499,1608.447632796376,1659.928001995948,1713.05606451104,1767.884556817795,1824.467903288935
Libya,LBY,UM,0.01244,7250,2025,projected - raised from 0.9% to the 1.244% floor,6230,6570,6700,6460,7260,7320,6800,6610,6050,5900,5810,5500,4990,5930,6130,5190,5160,5150,6760,8540,10500,12020,11140,11550,6080,13310,11960,9130,8370,7670,9760,11000,10100,7000,6950,6010,6160,6790,7250,7340.19,7431.5019636,7523.949848027184,7617.547784136642,7712.310078571301,7808.251215948729,7905.385861075131,8003.728861186906,8103.295248220072,8204.10024110793,8306.159248107313,8409.487869153769,8514.101898246041,8620.017325860223,8727.250341393923,8835.817335640864,8945.734903296237,9057.019845493243,9169.68917237118,9283.760105675477,9399.25008139008,9516.176752402573,9634.55799120246,9754.41189261302,9875.756776557126
Liechtenstein,LIE,H,,,,frozen - only 0 of 10 annual rates,31480,41760,43830,45550,47500,54210,56490,61900,70290,79390,81680,79220,79990,80170,68970,65420,68640,78690,92620,103870,112050,121890,116380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,H,0.071689,30500,2025,projected - cut from 7.5% to the H p90 cap of 7.17%,,,,,,,,,,,2610,2870,2990,3220,3460,3830,4700,6020,7580,8810,10590,12670,12480,12430,13200,14040,15310,16020,15220,14890,15260,17550,19200,19800,22040,23840,25360,27110,30500,32686.514500000005,35029.77803799051,37541.02779575602,40232.30653740597,43116.52036076607,46207.50058890904,49520.070098627344,53070.114403927844,56874.65783543103,60951.94518099525,65321.529179075624,70004.36428439438,75022.90715557834,80401.2243466546,86165.10771884194,92342.19812609801,98962.11796755985,106056.61324253626,113659.70578928046,121807.85643760819,130540.1398577639,139898.43194402716,149927.61063166254,160675.7711102358,172194.4564653575
Luxembourg,LUX,H,0.019146181427,95720,2025,projected,19980,25870,28540,31330,35170,38990,40050,41330,45760,48560,49360,46350,46520,45690,45000,42520,46050,62680,73180,71370,85730,86000,70650,77640,79210,87950,85160,86760,73530,73730,75800,80120,79280,80090,86850,84190,88480,84650,95720,97552.67248618825,99420.43365229326,101323.95531254674,103263.92214385756,105241.03193208294,107255.9958230147,109309.538578171,111402.39883548554,113535.32937498788,115709.09738957063,117924.4847609407,120182.28834085401,122483.32023773476,124828.40810878242,127218.3954576713,129654.14193795015,132136.52366225046,134666.4335174152,137244.78148566076,139872.49497188817,142550.51913726097,145279.81723916976,148061.37097770596,150896.180848769,153785.26650393434
"Macao SAR, China",MAC,H,0.055010271627,69920,2024,projected,6540,7600,8270,9210,10050,12280,13800,15260,16420,16580,16670,15230,14330,14620,15910,16670,18510,23050,24430,25920,33070,32190,35520,45370,54620,60370,67830,68530,57990,59680,66890,72780,71600,43810,46220,45210,64780,69920,,73766.31819219356,77824.22339290542,82105.35506094701,86621.99294492058,91387.09230573452,96414.32107671877,101718.09906792836,107313.63932708625,113216.99177580293,119445.08924623628,126015.7960502406,132947.95922031775,140261.46256934686,147977.28372415458,156117.55429651734,164705.62336418696,173766.12444402467,183325.04614934535,193409.80673414157,204049.33273800556,215274.14195732976,227116.43098077565,239610.16754009246,252791.1879411795,266697.29985485773
Madagascar,MDG,L,0.030833333333,560,2025,projected,350,330,290,300,260,280,280,270,270,280,290,290,270,280,290,260,320,330,320,310,360,430,450,450,460,470,490,500,470,450,450,480,500,450,470,500,510,520,560,577.266666666667,595.065722222222,613.413581990741,632.327167435455,651.823921764715,671.921826019127,692.639415654717,713.995797637404,736.010668064557,758.704330329881,782.097713848385,806.21239335871,831.070608820604,856.695285925906,883.110057241955,910.339284006915,938.408078597128,967.342327687206,997.168716124228,1027.914751538058,1059.608789710482,1092.280060726555,1125.958695932291,1160.675755723536,1196.463258191678
Malawi,MWI,L,0.01875,600,2025,projected,230,240,240,270,310,290,310,230,230,250,290,290,260,230,210,250,320,440,430,440,480,530,590,650,710,650,590,530,510,490,480,490,540,560,600,610,620,570,600,611.25,622.7109375,634.386767578125,646.281519470214,658.399297960281,670.744284797036,683.32074013698,696.133004014549,709.185497839821,722.482725924318,736.029277035399,749.829825979812,763.889135216934,778.212056502251,792.803532561668,807.668598797199,822.812385024647,838.240117243859,853.957119442181,869.968815431722,886.280730721066,902.898494422086,919.8278411925,937.074613214859,954.644762212638
Malaysia,MYS,UM,0.023719294303,12380,2025,projected,1990,2170,2290,2420,2590,2900,3260,3630,4080,4540,4660,3670,3420,3490,3570,3810,4170,4720,5240,5790,6560,7420,7500,8130,8890,9980,10590,10840,10350,9800,9560,10200,10750,10110,10520,11620,11700,11650,12380,12673.644863472542,12974.254775882388,13281.994943275115,13597.034490267119,13919.546552991345,14249.708374247633,14587.701400909951,14933.711383644071,15287.928478990478,15650.5473538686,16021.76729255982,16401.79230622804,16790.831245038,17189.097912932964,17596.81118513485,18014.19512843138,18441.479124316353,18878.89799505073,19326.692132713793,19785.107631315295,20254.396422041234,20734.816411707554,21226.63162449787,21730.112347063106,22245.535277062812
Maldives,MDV,UM,0.070050509001,12950,2025,projected,670,820,820,920,900,990,1090,1250,1530,1640,1740,1830,1950,2050,2240,2650,3470,3890,3660,4710,4570,5500,5490,6000,6720,6810,7050,7720,8210,8720,9400,10220,10730,7050,9350,10570,11130,11540,12950,13857.154091564327,14827.85478898517,15866.553564348074,16978.013717623973,18167.3322203713,19439.963089600507,20801.742398989743,22258.91504214887,23818.16337066378,25486.637838250284,27271.989791546574,29182.406557917388,31226.648991176724,33414.091647407535,35754.765775118045,38259.4053168804,40939.496133407505,43807.328675801524,46876.054347520185,50159.745814527494,53673.46154020126,57433.31484094366,61456.54777917256,65761.6102325544,70368.2445020772
Mali,MLI,L,0.026030022357,1120,2025,projected,250,330,340,330,380,390,390,350,330,330,340,340,350,330,340,330,400,450,510,550,590,670,740,780,830,830,880,910,890,870,860,930,960,930,960,1000,1010,1030,1120,1149.153625039923,1179.066119591426,1209.757237044859,1241.24724497177,1273.556938509042,1306.70765409144,1340.7212835416,1375.620288526793,1411.427715391991,1448.167210379039,1485.863035241987,1524.540083268887,1564.223895720632,1604.94067869771,1646.71732044599,1689.58140911298,1733.561250966289,1778.685889086299,1824.985122545428,1872.489526086614,1921.230470314036,1971.240142409403,2022.551567387482,2075.198629904914,2129.216096636709
Malta,MLT,H,0.050770218147,41440,2025,projected,4930,6260,6910,7600,7940,8720,8570,8600,9320,10080,10610,10350,10800,11480,11030,10770,12210,14200,15380,16330,17990,20320,20110,21440,22060,22450,23330,24590,25470,23820,26690,29030,29830,26910,32440,34840,35720,36540,41440,43543.917839999696,45754.65204769894,48077.62571338747,50518.53725883207,53083.374415915714,55778.42891497529,58610.31191886939,61585.97024063716,64712.70338453115,67998.18145222719,71450.46395813639,75078.01959997468,78889.74703308842,82894.99669949716,87103.59376520151,91525.86222202328,96172.65021310121,101055.35664416768,106185.95914588575,111577.0434558401,117241.83429225815,123194.22779519662,129448.82561477435,136020.97073007197,142926.7850865651
Marshall Islands,MHL,UM,0.059613701754,9710,2025,projected,2060,2270,2170,2210,2240,2500,2690,2890,3210,2790,2630,2690,2810,2940,3100,3100,3200,3400,3610,3540,3730,3630,3730,3820,3860,3860,4350,4560,4980,5060,5310,6040,6770,6610,6720,7580,7960,8510,9710,10288.84904403283,10902.205422337309,11552.126244847039,12240.791253433677,12970.510132450721,13743.730255085862,14563.044891502084,15431.201906296435,16351.112974446514,17325.863346653638,18358.722196834264,19453.153586463697,20612.828082544882,21841.63506816735,23143.695786944136,24523.37716507588,25985.30645739933,27534.386766541007,29175.81348722509,30915.09173088733,32758.05478903474,34710.883697274476,36780.1279656269,38972.72754464938,41296.03610104199
Mauritania,MRT,LM,0.035601444369,2210,2025,projected,690,770,800,760,840,940,980,870,900,970,880,840,820,730,660,660,730,820,960,1180,1260,1430,1500,1550,1640,1800,1890,1790,1680,1550,1560,1680,1720,1720,1810,2010,2140,2110,2210,2288.679192055969,2370.159476990933,2454.540577757198,2541.925767588206,2632.421996393677,2726.140021654589,2823.19454397822,2923.704347479137,3027.792445157952,3135.586229455778,3247.21762816863,3362.823265912616,3482.544631337511,3606.528250293388,3734.925865162217,3867.894620573938,4005.597255734294,4148.202303599806,4295.884297143672,4448.823982965024,4607.20854250299,4771.23182112629,4941.094565378754,5117.004668671125,5299.177425719842
Mauritius,MUS,UM,0.038699850181,14040,2025,projected,1640,2090,2250,2460,2650,3030,3160,3280,3520,3840,3950,3830,3710,3960,4030,4010,4470,5240,5670,5910,6460,7390,7730,8210,8530,9700,10360,10720,10660,10650,11020,12190,12710,10780,10900,11810,12530,12960,14040,14583.345896544153,15147.719197881139,15733.93366142614,16342.834536884387,16975.299784998075,17632.241343458583,18314.606441809323,19023.37896723512,19759.58088320745,20524.27370303103,21318.56002041643,22143.585099285625,23000.5385251028,23890.655920111367,24815.220724950454,25775.56604921963,26773.076593660247,27809.190646724892,28885.40215841378,30003.26289436832,31164.384673327753,32370.441691175056,33623.172934923045,34924.3846901214,36275.95314529995
Mexico,MEX,UM,0.047800468312,13730,2025,projected,2070,2120,2400,2820,3280,3810,4640,5540,5110,4900,4930,5340,5850,6570,7100,7490,7780,8240,8490,9140,9720,10260,9230,9470,9760,10500,10710,10950,10580,9740,9270,9560,9860,8920,9880,10730,11990,12760,13730,14386.300429925917,15073.972327755764,15794.515264346986,16549.500490746286,17340.574364536234,18169.461939962854,19037.970729672994,19947.994646264502,20901.51813224435,21900.620487400673,22947.48040302525,24044.380712873903,25193.713371225072,26397.984668891884,27659.82069856206,28981.973081383625,30367.324967284094,31818.897322107736,33339.85551528093,34933.51622237101,36603.35465759068,38353.012152019495,40186.30409406788,42107.22824949908,44119.973479152024
"Micronesia, Fed. Sts.",FSM,UM,0.030172888828,4760,2025,projected,1470,1610,1590,1700,1830,1900,2060,2070,2140,2080,1860,1870,1950,2090,2120,2120,2220,2280,2400,2400,2410,2430,2660,2740,2920,3030,3090,3090,3460,3400,3430,3420,3850,4070,4090,4020,4270,4490,4760,4903.622950819672,5051.579420967527,5204.000165240486,5361.019883685423,5522.777340638751,5689.415487357775,5861.081588352201,6037.92735152741,6220.109062254547,6407.787721485888,6601.129188037541,6800.304325165234,7005.489151562716,7216.864996916212,7434.618662152411,7658.942584521598,7890.035007661816,8128.100156794359,8373.34841920542,8625.996530173386,8886.267764506109,9154.39213385739,9430.606589997094,9715.155234214495,10008.28953303993
