Economy,Code,2025 class,"Median, last 10 years",Floor,Cap,Rate used,Adjustment,Change,Obs,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Status
Cameroon,CMR,LM,0.019181991122,0.01244,0.074681,0.019181991122,unadjusted,0,10,-0.039215686275,-0.040816326531,0.078014184397,0.026315789474,-0.012820512821,0.045454545455,0.031055900621,0.012048192771,0.005952380952,0.100591715976,projected
Canada,CAN,H,0.028610435865,0.01244,0.071689,0.028610435865,unadjusted,0,10,-0.077343421606,-0.02277904328,0.05034965035,0.03373280071,-0.057535422928,0.117995444191,0.101670741646,0.023488071019,-0.022226237803,0.042690815006,projected
Cayman Islands,CYM,H,0.084883964039,0.01244,0.071689,0.071689,cut by cap,-0.013194964039,9,0.076524870583,0.084883964039,0.115436500289,0.114720110574,-0.032548047117,0.221723806472,-0.030159979019,0.000135208221,0.107476003785,,projected - cut from 8.5% to the H p90 cap of 7.17%
Central African Republic,CAF,L,0.033228676086,0.01244,0.055948,0.033228676086,unadjusted,0,10,0.025641025641,0.05,0.119047619048,0.063829787234,-0.02,0.040816326531,0.019607843137,0.019230769231,-0.037735849057,0.098039215686,projected
Chad,TCD,L,0.010989010989,0.01244,0.055948,0.01244,raised by floor,0.001450989011,10,-0.16814159292,-0.117021276596,0.072289156627,0.044943820225,-0.043010752688,0,0.033707865169,-0.010869565217,0.021978021978,0.043010752688,projected - raised from 1.1% to the 1.244% floor
Channel Islands,CHI,H,,0.01244,0.071689,,frozen,,0,,,,,,,,,,,frozen - only 0 of 10 annual rates
Chile,CHL,H,0.025797134966,0.01244,0.071689,0.025797134966,unadjusted,0,10,-0.0546875,-0.00826446281,0.095454545455,0.016597510373,-0.118367346939,0.141203703704,0.043272481406,0.034996759559,-0.008140262993,0.070707070707,projected
China,CHN,UM,0.050129789684,0.01244,0.090712,0.050129789684,unadjusted,0,10,0.039800995025,0.056220095694,0.100792751982,0.081275720165,0.021883920076,0.137802607076,0.077741407529,0.044039483675,-0.006545454545,0.041727672035,projected
Colombia,COL,UM,0.041857069768,0.01244,0.090712,0.041857069768,unadjusted,0,10,-0.11590296496,-0.080792682927,0.053067993367,0.044094488189,-0.117647058824,0.078632478632,0.039619651347,0.030487804878,0.048816568047,0.114245416079,projected
Comoros,COM,LM,0.026001435144,0.01244,0.074681,0.026001435144,unadjusted,0,10,-0.047297297297,-0.021276595745,0.079710144928,0.026845637584,0,0.039215686275,0.025157232704,0.024539877301,0.035928143713,0.127167630058,projected
"Congo, Dem. Rep.",COD,L,0.044466403162,0.01244,0.055948,0.044466403162,unadjusted,0,10,0,-0.04347826087,0.045454545455,0,0.04347826087,0.104166666667,0.150943396226,0.114754098361,0,0.058823529412,projected
