Economy,Code,2025 class,Growth rate,Starting level,Level year,Status,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Cabo Verde,CPV,UM,0.068127,5590,2025,projected,580,750,810,810,820,940,1080,1190,1300,1250,1260,1240,1290,1330,1270,1230,1440,1810,2070,2200,2770,3360,3650,3600,3760,3730,3840,3750,3620,3580,3620,4040,4420,3510,3870,4550,4740,4940,5590,5970.828529,6377.601668,6812.086938,7276.172278,7771.874243,8301.346772,8866.890543,9470.962973,10116.188894,10805.371959,11541.506827,12327.79217,13167.644578,14064.7134,15022.896605,16046.357717,17139.543907,18307.20532,19554.415708,20886.594487,22309.530275,23829.406053,25452.826027,27186.844327,29038.995657
Cambodia,KHM,LM,0.074593,2750,2025,projected,160,190,170,170,170,210,290,210,260,320,310,280,290,290,310,320,370,430,510,580,670,780,840,910,990,1110,1230,1330,1430,1550,1690,1920,2100,2050,2120,2270,2390,2550,2750,2955.130873,3175.563083,3412.438002,3666.982142,3940.513506,4234.448406,4550.308805,4889.730194,5254.470057,5646.416977,6067.600411,6520.201201,7006.562861,7529.203718,8090.829948,8694.349588,9342.887596,10039.802029,10788.701431,11593.46352,12458.255263,13387.554456,14386.172905,15459.281344,16612.436209
Cameroon,CMR,LM,0.019182,1860,2025,projected,1150,1230,1120,1000,930,960,990,890,870,770,790,770,760,730,700,700,820,1030,1140,1200,1250,1360,1460,1450,1470,1470,1530,1570,1530,1470,1410,1520,1560,1540,1610,1660,1680,1690,1860,1895.678503,1932.041392,1969.101793,2006.873086,2045.368907,2084.603156,2124.589995,2165.343861,2206.879468,2249.21181,2292.356171,2336.328127,2381.143552,2426.818627,2473.36984,2520.813999,2569.16823,2618.449992,2668.677077,2719.867617,2772.040093,2825.213342,2879.406559,2934.63931,2990.931535
Canada,CAN,H,0.02861,56420,2025,projected,16320,18620,19860,20650,20990,21420,21270,20890,20850,20820,21330,20900,21450,22740,23120,23590,25480,29530,34310,37900,41540,44930,43230,44490,47190,51080,52800,52200,47580,43900,42900,45060,46580,43900,49080,54070,55340,54110,56420,58034.200791,59694.584571,61402.472655,63159.22416,64966.237092,66824.949452,68736.840383,70703.431346,72726.287334,74807.018113,76947.279507,79148.774712,81413.255655,83742.524385,86138.434508,88602.892664,91137.860042,93745.353941,96427.449378,99186.280734,102024.043457,104942.995809,107945.46066,111033.827339,114210.553535
Cayman Islands,CYM,H,0.071689,81920,2024,projected - cut from 8.5% to the H p90 cap of 7.17%,,,,,,,,,,,,,,,,,,,,,,,,73550,73950,51150,44990,43420,44430,47830,51890,57880,64520,62420,76260,73960,73970,81920,,87792.76288,94086.538258,100831.508099,108060.018083,115806.73272,124108.801582,133006.037458,142541.107278,152759.736717,163710.929483,175447.202307,188024.836793,201504.149318,215949.780278,231431.004076,248022.061328,265802.514882,284857.631371,305278.790107,327163.921291,350617.975644,375753.4277,402690.815179,431559.317028,462497.372906
Central African Republic,CAF,L,0.033229,560,2025,projected,410,480,480,470,460,460,430,360,340,290,290,270,260,240,240,240,250,290,320,330,360,390,460,500,510,540,360,380,390,400,420,470,500,490,510,520,530,510,560,578.608059,597.834438,617.699685,638.225028,659.432401,681.344466,703.984641,727.377119,751.546897,776.519806,802.322531,828.982646,856.528642,884.989955,914.396999,944.781201,976.17503,1008.612034,1042.126876,1076.755372,1112.534528,1149.502577,1187.699026,1227.164692,1267.941751
Chad,TCD,L,0.01244,970,2025,projected - raised from 1.1% to the 1.244% floor,210,270,270,270,290,320,240,220,200,200,210,210,190,180,180,190,210,330,510,630,820,910,1020,1150,1190,1310,1310,1260,1130,940,830,890,930,890,890,920,910,930,970,982.0668,994.283711,1006.6526,1019.175359,1031.8539,1044.690163,1057.686108,1070.843723,1084.165019,1097.652032,1111.306824,1125.13148,1139.128116,1153.29887,1167.645908,1182.171423,1196.877635,1211.766793,1226.841172,1242.103076,1257.554838,1273.198821,1289.037414,1305.073039,1321.308148
Channel Islands,CHI,H,,,,frozen - only 0 of 10 annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,H,0.025797,16960,2025,projected,1670,1940,2200,2340,2600,3120,3450,3740,4430,5070,5580,5470,5100,5030,4780,4520,4570,5200,6200,7350,8700,9950,9880,10720,11860,14170,15080,14690,14080,13310,13200,14460,14700,12960,14790,15430,15970,15840,16960,17397.519409,17846.325565,18306.709635,18778.970294,19263.413925,19760.354814,20270.115354,20793.026256,21329.42676,21879.664861,22444.097529,23023.090942,23617.020726,24226.272197,24851.240611,25492.331419,26149.960533,26824.554595,27516.55125,28226.399436,28954.559672,29701.504356,30467.718072,31253.697908,32059.953771
China,CHN,UM,0.05013,14230,2025,projected,320,330,320,330,360,400,420,470,540,660,760,800,860,950,1020,1130,1300,1530,1790,2090,2550,3140,3740,4410,5130,6010,6860,7600,8040,8360,8830,9720,10510,10740,12220,13170,13750,13660,14230,14943.346907,15692.453745,16479.113151,17305.207627,18172.714046,19083.708379,20040.370666,21044.990233,22099.971168,23207.838074,24371.242116,25592.967357,26875.937428,28223.222519,29638.046728,31123.795778,32684.025114,34322.468419,36043.046542,37849.876885,39747.283253,41739.806203,43832.213909,46029.513574,48336.963409
Colombia,COL,UM,0.041857,7900,2025,projected,1270,1330,1280,1350,1400,1600,1770,2080,2390,2580,2700,2600,2370,2370,2360,2410,2410,2650,3030,3540,4170,4770,5200,5690,6370,7340,8010,8280,7420,6560,6030,6350,6630,5850,6310,6560,6760,7090,7900,8230.670851,8575.182615,8934.114632,9308.070492,9697.679048,10103.595476,10526.502377,10967.110921,11426.162048,11904.42771,12402.712172,12921.85336,13462.724278,14026.234467,14613.331542,15225.00278,15862.276783,16526.225209,17217.964571,17938.658115,18689.51778,19471.806229,20286.838981,21135.986616,22020.677082
Comoros,COM,LM,0.026001,1950,2025,projected,680,830,830,880,840,960,970,810,810,770,780,720,700,670,680,700,810,980,1140,1140,1190,1340,1440,1450,1490,1510,1590,1590,1480,1410,1380,1490,1530,1530,1590,1630,1670,1730,1950,2000.702799,2052.723943,2106.097711,2160.859274,2217.044716,2274.691061,2333.836293,2394.519386,2456.780326,2520.660141,2586.200922,2653.445857,2722.439258,2793.226586,2865.854485,2940.370815,3016.824676,3095.266447,3175.747817,3258.321818,3343.042861,3429.966773,3519.150832,3610.653804,3704.535985
"Congo, Dem. Rep.",COD,L,0.044466,720,2025,projected,240,250,240,230,190,200,200,150,140,120,110,110,100,130,130,180,160,180,190,220,260,300,300,320,320,370,420,450,460,460,440,460,460,480,530,610,680,680,720,752.01581,785.455248,820.381618,856.861038,894.962566,934.758333,976.323674,1019.737276,1065.081324,1112.44166,1161.907939,1213.573806,1267.537068,1323.899883,1382.768949,1444.25571,1508.476567,1575.553094,1645.612273,1718.786732,1795.214996,1875.041749,1958.418112,2045.501921,2136.458034
